,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
1493,222063,"특정범죄가중처벌등에관한법률위반(절도),사기,신용카드업법위반, 보호감호",97노2855,1998.02.04,서울고등법원,형사,400102,판결：확정,선고
1494,116289,유가증권위조·위조유가증권행사·사기,97도2630,1998.01.20,대법원,형사,400102,판결,선고
1495,211139,사기·사문서위조·위조사문서행사,95도2221,1997.12.26,대법원,형사,400102,판결,선고
1496,192038,특정범죄가중처벌등에관한법률위반(뇌물)·특정경제범죄가중처벌등에관한법률위반(사기·횡령·증재 등·알선수재)·사기·제3자뇌물취득·제3자뇌물교부·뇌물공여·상호신용금고법위반(일부 인정된 죄명 : 배임)·부정수표단속법위반,97도2609,1997.12.26,대법원,형사,400102,판결,선고
1497,211141,특정경제범죄가중처벌등에관한법률위반{사기·예비적으로 특정경제범죄가중처벌등에관한법률위반(배임)}·특정경제범죄가중처벌등에관한법률위반(배임),97도2430,1997.12.23,대법원,형사,400102,판결,선고
1498,116176,부정수표단속법위반·상습사기{인정된 죄명 : 특정경제범죄가중처벌등에관한법률위반(사기)}·공문서위조,97도2463,1997.12.12,대법원,형사,400102,판결,선고
1499,116026,사기,97도2220,1997.11.11,대법원,형사,400102,판결,선고
1500,115950,"특정범죄가중처벌등에관한법률위반(뇌물)·특정경제범죄가중처벌등에관한법률위반(배임·수재등·사금융알선)·제3자뇌물취득·뇌물수수·업무상배임·뇌물공여·제3자뇌물교부·배임수재(변경된 주위적 죄명 : 부정처사후수뢰, 특정범죄가중처벌등에관한법률위반(뇌물), 변경된 예비적 죄명 : 배임수재)·사기",97도2042,1997.10.24,대법원,형사,400102,판결,선고
1501,115886,특정경제범죄가중처벌등에관한법률위반(사기)·사기·위증교사·조세범처벌법위반,96도1405,1997.10.14,대법원,형사,400102,판결,선고
1502,115802,특정경제범죄가중처벌등에관한법률위반(배임)·사기·사문서위조·위조사문서행사,97도1469,1997.09.26,대법원,형사,400102,판결,선고
1503,222963,특정범죄가중처벌등에관한법률위반(뇌물)·특정경제범죄가중처벌등에관한법률위반(사기·횡령·수재등·증재등·알선수재)·사기·제3자뇌물취득·제3자뇌물교부·뇌물공여·상호신용금고,96노1813,1997.09.24,서울고등법원,형사,400102,판결：상고기각,선고
1504,115748,사기·단기금융업법위반,97도1706,1997.09.12,대법원,형사,400102,판결,선고
1505,115744,농수산물가공산업육성및품질관리에관한법률위반·사기,97도1561,1997.09.09,대법원,형사,400102,판결,선고
